[(0, 2, True), (1, 2, True), (2, 2, True), (3, 2, True), (4, 2, True), (5, 2, True), (6, 2, True), (7, 2, True), (8, 2, True), (9, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 4 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch  30, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.059, TAw acc= 97.0% | *
| Epoch  31, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.080, TAw acc= 97.0% |
| Epoch  32, time= 17.2s | Train: skip eval | Valid: time=  1.2s loss=0.094, TAw acc= 95.5% |
| Epoch  33, time= 17.4s | Train: skip eval | Valid: time=  1.2s loss=0.140, TAw acc= 94.0% |
| Epoch  34, time= 17.4s | Train: skip eval | Valid: time=  1.3s loss=0.108, TAw acc= 96.3% |
| Epoch  35, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.127, TAw acc= 96.3% |
| Epoch  36, time= 17.2s | Train: skip eval | Valid: time=  1.2s loss=0.080, TAw acc= 97.0% |
| Epoch  37, time= 17.2s | Train: skip eval | Valid: time=  1.3s loss=0.105, TAw acc= 96.3% |
| Epoch  38, time= 17.3s | Train: skip eval | Valid: time=  1.3s loss=0.112, TAw acc= 95.5% |
| Epoch  39, time= 17.4s | Train: skip eval | Valid: time=  1.3s loss=0.087, TAw acc= 97.8% |
| Epoch  40, time= 17.4s | Train: skip eval | Valid: time=  1.3s loss=0.085, TAw acc= 97.8% |
| Epoch  41, time= 17.5s | Train: skip eval | Valid: time=  1.2s loss=0.108, TAw acc= 97.8% |
| Epoch  42, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.136, TAw acc= 94.0% |
| Epoch  43, time= 17.2s | Train: skip eval | Valid: time=  1.3s loss=0.130, TAw acc= 95.5% |
| Epoch  44, time= 17.2s | Train: skip eval | Valid: time=  1.3s loss=0.083, TAw acc= 97.0% |
| Epoch  45, time= 17.2s | Train: skip eval | Valid: time=  1.3s loss=0.139, TAw acc= 94.8% |
| Epoch  46, time= 17.6s | Train: skip eval | Valid: time=  1.3s loss=0.080, TAw acc= 97.0% |
| Epoch  47, time= 17.2s | Train: skip eval | Valid: time=  1.3s loss=0.101, TAw acc= 96.3% |
| Epoch  48, time= 17.5s | Train: skip eval | Valid: time=  1.3s loss=0.082, TAw acc= 97.8% |
| Epoch  49, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.099, TAw acc= 97.0% |
| Epoch  50, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.130, TAw acc= 94.0% |
| Epoch  51, time= 17.6s | Train: skip eval | Valid: time=  1.2s loss=0.142, TAw acc= 95.5% |
| Epoch  52, time= 17.6s | Train: skip eval | Valid: time=  1.2s loss=0.086, TAw acc= 95.5% |
| Epoch  53, time= 17.2s | Train: skip eval | Valid: time=  1.3s loss=0.116, TAw acc= 96.3% |
| Epoch  54, time= 17.2s | Train: skip eval | Valid: time=  1.3s loss=0.116, TAw acc= 97.0% |
| Epoch  55, time= 17.6s | Train: skip eval | Valid: time=  1.3s loss=0.041, TAw acc= 97.8% | *
| Epoch  56, time= 17.5s | Train: skip eval | Valid: time=  1.3s loss=0.140, TAw acc= 95.5% |
| Epoch  57, time= 17.3s | Train: skip eval | Valid: time=  1.3s loss=0.106, TAw acc= 95.5% |
| Epoch  58, time= 17.3s | Train: skip eval | Valid: time=  1.3s loss=0.135, TAw acc= 95.5% |
| Epoch  59, time= 17.3s | Train: skip eval | Valid: time=  1.3s loss=0.085, TAw acc= 97.0% |
| Epoch  60, time= 17.3s | Train: skip eval | Valid: time=  1.2s loss=0.083, TAw acc= 96.3% |
| Epoch  61, time= 17.6s | Train: skip eval | Valid: time=  1.3s loss=0.140, TAw acc= 94.8% |
| Epoch  62, time= 17.3s | Train: skip eval | Valid: time=  1.3s loss=0.093, TAw acc= 96.3% |
| Epoch  63, time= 17.4s | Train: skip eval | Valid: time=  1.3s loss=0.095, TAw acc= 95.5% |
| Epoch  64, time= 17.2s | Train: skip eval | Valid: time=  1.3s loss=0.140, TAw acc= 94.0% |
| Epoch  65, time= 17.6s | Train: skip eval | Valid: time=  1.2s loss=0.052, TAw acc= 97.8% |
Stage 2: BiC training for Task 0: alpha=1.00000, beta=0.00000
| Selected 36 train exemplars, time=  9.7s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.103 | TAw acc= 97.6%, forg=  0.0%| TAg acc= 97.6%, forg=  0.0% <<<
Save at results/ntu_bic
************************************************************************************************************
Task  1
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 4 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 27.9s | Train: skip eval | Valid: time=  2.3s loss=0.527, TAw acc= 64.7% | *
| Epoch   2, time= 27.9s | Train: skip eval | Valid: time=  2.3s loss=0.305, TAw acc= 85.0% | *
| Epoch   3, time= 27.7s | Train: skip eval | Valid: time=  2.3s loss=0.282, TAw acc= 88.7% | *
| Epoch   4, time= 27.4s | Train: skip eval | Valid: time=  2.3s loss=0.269, TAw acc= 89.5% | *
| Epoch   5, time= 27.6s | Train: skip eval | Valid: time=  2.3s loss=0.300, TAw acc= 86.5% |
| Epoch   6, time= 27.4s | Train: skip eval | Valid: time=  2.3s loss=0.268, TAw acc= 88.0% | *
| Epoch   7, time= 27.9s | Train: skip eval | Valid: time=  2.3s loss=0.373, TAw acc= 83.5% |
| Epoch   8, time= 27.9s | Train: skip eval | Valid: time=  2.2s loss=0.286, TAw acc= 88.0% |
| Epoch   9, time= 27.9s | Train: skip eval | Valid: time=  2.3s loss=0.274, TAw acc= 91.0% |
| Epoch  10, time= 27.8s | Train: skip eval | Valid: time=  2.3s loss=0.215, TAw acc= 94.0% | *
| Epoch  11, time= 27.9s | Train: skip eval | Valid: time=  2.3s loss=0.253, TAw acc= 89.5% |
| Epoch  12, time= 27.6s | Train: skip eval | Valid: time=  2.3s loss=0.211, TAw acc= 92.5% | *
| Epoch  13, time= 27.8s | Train: skip eval | Valid: time=  2.3s loss=0.303, TAw acc= 88.0% |
| Epoch  14, time= 27.3s | Train: skip eval | Valid: time=  2.3s loss=0.213, TAw acc= 95.5% |
| Epoch  15, time= 27.1s | Train: skip eval | Valid: time=  2.4s loss=0.178, TAw acc= 95.5% | *
| Epoch  16, time= 27.6s | Train: skip eval | Valid: time=  2.3s loss=0.162, TAw acc= 96.2% | *
| Epoch  17, time= 27.9s | Train: skip eval | Valid: time=  2.2s loss=0.188, TAw acc= 94.7% |
| Epoch  18, time= 27.7s | Train: skip eval | Valid: time=  2.3s loss=0.167, TAw acc= 96.2% |
| Epoch  19, time= 27.8s | Train: skip eval | Valid: time=  2.3s loss=0.270, TAw acc= 88.0% |
| Epoch  20, time= 28.1s | Train: skip eval | Valid: time=  2.3s loss=0.237, TAw acc= 91.7% |
| Epoch  21, time= 27.8s | Train: skip eval | Valid: time=  2.3s loss=0.191, TAw acc= 95.5% |
| Epoch  22, time= 27.3s | Train: skip eval | Valid: time=  2.4s loss=0.186, TAw acc= 93.2% |
| Epoch  23, time= 27.8s | Train: skip eval | Valid: time=  2.3s loss=0.230, TAw acc= 90.2% |
