0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.023593	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.010889	0.003643	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.025408	0.036430	0.005445	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.036298	0.012750	0.005445	0.007299	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.039927	0.014572	0.001815	0.009124	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
0.025408	0.016393	0.047187	0.009124	0.001825	0.001815	0.000000	0.000000	0.000000	0.000000
0.012704	0.060109	0.059891	0.009124	0.003650	0.001815	0.000000	0.000000	0.000000	0.000000
0.021779	0.071038	0.061706	0.005474	0.000000	0.005445	-0.001828	-0.001815	0.000000	0.000000
0.012704	0.045537	0.038113	0.003650	0.000000	-0.005445	0.000000	0.000000	0.000000	0.000000
