[(0, 2, True), (1, 2, True), (2, 2, True), (3, 2, True), (4, 2, True), (5, 2, True), (6, 2, True), (7, 2, True), (8, 2, True), (9, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
| Epoch  56, time= 17.4s | Train: skip eval | Valid: time=  1.3s loss=0.119, TAw acc= 93.3% |
| Epoch  57, time= 17.3s | Train: skip eval | Valid: time=  1.2s loss=0.078, TAw acc= 97.0% |
| Epoch  58, time= 17.3s | Train: skip eval | Valid: time=  1.2s loss=0.103, TAw acc= 94.8% |
| Epoch  59, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.094, TAw acc= 95.5% |
| Epoch  60, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.127, TAw acc= 94.8% |
| Epoch  61, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.090, TAw acc= 96.3% |
| Epoch  62, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.157, TAw acc= 94.0% |
| Epoch  63, time= 17.3s | Train: skip eval | Valid: time=  1.3s loss=0.138, TAw acc= 94.0% |
| Epoch  64, time= 17.2s | Train: skip eval | Valid: time=  1.3s loss=0.090, TAw acc= 96.3% |
| Epoch  65, time= 17.2s | Train: skip eval | Valid: time=  1.3s loss=0.060, TAw acc= 97.0% |
| Selected 400 train exemplars, time= 13.0s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.107 | TAw acc= 96.7%, forg=  0.0%| TAg acc= 96.7%, forg=  0.0% <<<
Save at results/ntu_eeil
************************************************************************************************************
Task  1
************************************************************************************************************
| Epoch   1, time= 34.4s | Train: skip eval | Valid: time=  1.2s loss=0.568, TAw acc= 82.7% | *
| Epoch   2, time= 35.6s | Train: skip eval | Valid: time=  1.2s loss=0.754, TAw acc= 82.0% |
| Epoch   3, time= 35.9s | Train: skip eval | Valid: time=  1.2s loss=0.481, TAw acc= 90.2% | *
| Epoch   4, time= 35.3s | Train: skip eval | Valid: time=  1.2s loss=0.419, TAw acc= 86.5% | *
| Epoch   5, time= 35.5s | Train: skip eval | Valid: time=  1.3s loss=0.430, TAw acc= 90.2% |
| Epoch   6, time= 35.7s | Train: skip eval | Valid: time=  1.2s loss=0.389, TAw acc= 91.7% | *
| Epoch   7, time= 35.5s | Train: skip eval | Valid: time=  1.2s loss=0.804, TAw acc= 78.9% |
| Epoch   8, time= 34.7s | Train: skip eval | Valid: time=  1.3s loss=0.434, TAw acc= 94.0% |
| Epoch   9, time= 35.7s | Train: skip eval | Valid: time=  1.2s loss=0.678, TAw acc= 90.2% |
| Epoch  10, time= 35.4s | Train: skip eval | Valid: time=  1.3s loss=0.225, TAw acc= 94.0% | *
| Epoch  11, time= 35.5s | Train: skip eval | Valid: time=  1.2s loss=0.517, TAw acc= 95.5% |
| Epoch  12, time= 35.5s | Train: skip eval | Valid: time=  1.2s loss=0.266, TAw acc= 92.5% |
| Epoch  13, time= 34.6s | Train: skip eval | Valid: time=  1.3s loss=0.446, TAw acc= 89.5% |
| Epoch  14, time= 35.4s | Train: skip eval | Valid: time=  1.2s loss=0.288, TAw acc= 95.5% |
| Epoch  15, time= 35.6s | Train: skip eval | Valid: time=  1.2s loss=0.857, TAw acc= 84.2% |
| Epoch  16, time= 35.3s | Train: skip eval | Valid: time=  1.2s loss=0.241, TAw acc= 94.0% |
| Epoch  17, time= 35.8s | Train: skip eval | Valid: time=  1.2s loss=0.312, TAw acc= 97.0% |
| Epoch  18, time= 35.6s | Train: skip eval | Valid: time=  1.2s loss=0.185, TAw acc= 95.5% | *
| Epoch  19, time= 35.9s | Train: skip eval | Valid: time=  1.3s loss=0.108, TAw acc= 98.5% | *
| Epoch  20, time= 34.9s | Train: skip eval | Valid: time=  1.3s loss=0.365, TAw acc= 91.0% |
| Epoch  21, time= 34.6s | Train: skip eval | Valid: time=  1.3s loss=0.431, TAw acc= 94.7% |
| Epoch  22, time= 35.5s | Train: skip eval | Valid: time=  1.3s loss=0.211, TAw acc= 96.2% |
| Epoch  23, time= 35.7s | Train: skip eval | Valid: time=  1.2s loss=0.250, TAw acc= 97.7% |
| Epoch  24, time= 35.6s | Train: skip eval | Valid: time=  1.2s loss=0.415, TAw acc= 88.0% |
| Epoch  25, time= 35.6s | Train: skip eval | Valid: time=  1.2s loss=0.658, TAw acc= 91.7% |
| Epoch  26, time= 34.4s | Train: skip eval | Valid: time=  1.3s loss=0.205, TAw acc= 95.5% |
| Epoch  27, time= 35.6s | Train: skip eval | Valid: time=  1.2s loss=0.108, TAw acc= 97.0% | *
| Epoch  28, time= 35.7s | Train: skip eval | Valid: time=  1.3s loss=0.226, TAw acc= 97.0% |
| Epoch  29, time= 35.6s | Train: skip eval | Valid: time=  1.2s loss=0.237, TAw acc= 97.0% |
| Epoch  30, time= 35.8s | Train: skip eval | Valid: time=  1.3s loss=0.153, TAw acc= 97.0% |
| Epoch  31, time= 35.6s | Train: skip eval | Valid: time=  1.3s loss=0.333, TAw acc= 94.0% |
| Epoch  32, time= 35.5s | Train: skip eval | Valid: time=  1.3s loss=0.398, TAw acc= 97.0% |
| Epoch  33, time= 34.9s | Train: skip eval | Valid: time=  1.3s loss=0.255, TAw acc= 94.7% |
| Epoch  34, time= 35.9s | Train: skip eval | Valid: time=  1.3s loss=0.716, TAw acc= 92.5% |
| Epoch  35, time= 35.6s | Train: skip eval | Valid: time=  1.2s loss=0.519, TAw acc= 87.2% |
| Epoch  36, time= 35.4s | Train: skip eval | Valid: time=  1.2s loss=0.100, TAw acc= 97.7% | *
| Epoch  37, time= 35.9s | Train: skip eval | Valid: time=  1.2s loss=0.103, TAw acc= 97.7% |
| Epoch  38, time= 35.6s | Train: skip eval | Valid: time=  1.3s loss=0.170, TAw acc= 98.5% |
| Epoch  39, time= 34.8s | Train: skip eval | Valid: time=  1.3s loss=0.349, TAw acc= 97.0% |
| Epoch  40, time= 34.7s | Train: skip eval | Valid: time=  1.3s loss=0.355, TAw acc= 95.5% |
| Epoch  41, time= 34.8s | Train: skip eval | Valid: time=  1.3s loss=0.328, TAw acc= 93.2% |
| Epoch  42, time= 34.4s | Train: skip eval | Valid: time=  1.3s loss=0.453, TAw acc= 97.0% |
| Epoch  43, time= 35.9s | Train: skip eval | Valid: time=  1.2s loss=0.209, TAw acc= 93.2% |
| Epoch  44, time= 35.2s | Train: skip eval | Valid: time=  1.2s loss=0.217, TAw acc= 98.5% |
| Epoch  45, time= 35.7s | Train: skip eval | Valid: time=  1.2s loss=0.105, TAw acc= 97.7% |
| Epoch  46, time= 35.5s | Train: skip eval | Valid: time=  1.3s loss=0.389, TAw acc= 92.5% |
| Epoch  47, time= 35.5s | Train: skip eval | Valid: time=  1.3s loss=0.104, TAw acc= 97.7% |
| Epoch  48, time= 34.7s | Train: skip eval | Valid: time=  1.3s loss=0.429, TAw acc= 88.0% |
| Epoch  49, time= 35.8s | Train: skip eval | Valid: time=  1.2s loss=0.796, TAw acc= 94.0% |
| Epoch  50, time= 35.6s | Train: skip eval | Valid: time=  1.2s loss=0.240, TAw acc= 94.7% |
| Epoch  51, time= 35.6s | Train: skip eval | Valid: time=  1.3s loss=0.212, TAw acc= 97.0% |
| Epoch  52, time= 35.3s | Train: skip eval | Valid: time=  1.2s loss=0.198, TAw acc= 94.7% |
| Epoch  53, time= 35.5s | Train: skip eval | Valid: time=  1.2s loss=0.165, TAw acc= 94.7% |
| Epoch  54, time= 35.4s | Train: skip eval | Valid: time=  1.2s loss=0.199, TAw acc= 96.2% |
| Epoch  55, time= 34.9s | Train: skip eval | Valid: time=  1.2s loss=0.089, TAw acc= 97.7% | *
| Epoch  56, time= 35.1s | Train: skip eval | Valid: time=  1.3s loss=0.223, TAw acc= 94.7% |
| Epoch  57, time= 35.4s | Train: skip eval | Valid: time=  1.2s loss=0.172, TAw acc= 96.2% |
| Epoch  58, time= 35.6s | Train: skip eval | Valid: time=  1.2s loss=0.175, TAw acc= 97.0% |
| Epoch  59, time= 35.3s | Train: skip eval | Valid: time=  1.3s loss=0.169, TAw acc= 97.0% |
| Epoch  60, time= 34.4s | Train: skip eval | Valid: time=  1.3s loss=0.185, TAw acc= 95.5% |
| Epoch  61, time= 35.7s | Train: skip eval | Valid: time=  1.3s loss=0.407, TAw acc= 94.7% |
| Epoch  62, time= 35.8s | Train: skip eval | Valid: time=  1.2s loss=0.177, TAw acc= 95.5% |
| Epoch  63, time= 35.3s | Train: skip eval | Valid: time=  1.3s loss=0.271, TAw acc= 94.7% |
| Epoch  64, time= 35.1s | Train: skip eval | Valid: time=  1.3s loss=0.100, TAw acc= 96.2% |
| Epoch  65, time= 34.8s | Train: skip eval | Valid: time=  1.3s loss=0.133, TAw acc= 97.7% |
| Epoch   1, time= 17.9s | Train: skip eval | Valid: time=  1.2s loss=0.102, TAw acc= 97.0% | *
| Epoch   2, time= 18.0s | Train: skip eval | Valid: time=  1.3s loss=0.108, TAw acc= 97.0% |
| Epoch   3, time= 18.0s | Train: skip eval | Valid: time=  1.3s loss=0.107, TAw acc= 97.0% |
| Epoch   4, time= 17.6s | Train: skip eval | Valid: time=  1.3s loss=0.106, TAw acc= 97.0% |
| Epoch   5, time= 17.9s | Train: skip eval | Valid: time=  1.2s loss=0.103, TAw acc= 97.7% |
| Epoch   6, time= 18.0s | Train: skip eval | Valid: time=  1.2s loss=0.103, TAw acc= 97.7% |
| Epoch   7, time= 18.0s | Train: skip eval | Valid: time=  1.3s loss=0.099, TAw acc= 97.7% | *
| Epoch   8, time= 17.3s | Train: skip eval | Valid: time=  1.3s loss=0.102, TAw acc= 97.7% |
| Epoch   9, time= 17.8s | Train: skip eval | Valid: time=  1.3s loss=0.100, TAw acc= 97.7% |
| Epoch  10, time= 18.0s | Train: skip eval | Valid: time=  1.3s loss=0.103, TAw acc= 97.7% |
| Epoch  11, time= 17.4s | Train: skip eval | Valid: time=  1.3s loss=0.102, TAw acc= 97.7% |
| Epoch  12, time= 17.9s | Train: skip eval | Valid: time=  1.2s loss=0.103, TAw acc= 97.7% |
| Epoch  13, time= 17.3s | Train: skip eval | Valid: time=  1.3s loss=0.106, TAw acc= 97.7% |
| Epoch  14, time= 18.0s | Train: skip eval | Valid: time=  1.2s loss=0.108, TAw acc= 97.7% |
| Epoch  15, time= 17.5s | Train: skip eval | Valid: time=  1.3s loss=0.105, TAw acc= 97.7% |
| Epoch  16, time= 17.6s | Train: skip eval | Valid: time=  1.3s loss=0.104, TAw acc= 97.7% |
| Epoch  17, time= 18.1s | Train: skip eval | Valid: time=  1.2s loss=0.105, TAw acc= 97.7% |
| Epoch  18, time= 17.4s | Train: skip eval | Valid: time=  1.3s loss=0.107, TAw acc= 97.7% |
| Epoch  19, time= 18.0s | Train: skip eval | Valid: time=  1.3s loss=0.107, TAw acc= 97.7% |
| Epoch  20, time= 18.0s | Train: skip eval | Valid: time=  1.2s loss=0.109, TAw acc= 97.7% |
| Epoch  21, time= 17.8s | Train: skip eval | Valid: time=  1.2s loss=0.103, TAw acc= 97.7% |
| Epoch  22, time= 18.0s | Train: skip eval | Valid: time=  1.2s loss=0.103, TAw acc= 97.7% |
| Epoch  23, time= 18.0s | Train: skip eval | Valid: time=  1.2s loss=0.106, TAw acc= 97.7% |
| Epoch  24, time= 17.8s | Train: skip eval | Valid: time=  1.3s loss=0.107, TAw acc= 97.7% |
| Epoch  25, time= 18.0s | Train: skip eval | Valid: time=  1.2s loss=0.104, TAw acc= 97.7% |
| Epoch  26, time= 18.0s | Train: skip eval | Valid: time=  1.3s loss=0.102, TAw acc= 97.7% |
| Epoch  27, time= 17.6s | Train: skip eval | Valid: time=  1.3s loss=0.109, TAw acc= 97.7% |
