0.5942028985507246,0.6363636363636364,0.6231884057971014,0.18315018315018314,0.9021739130434783,0.8363636363636363,0.978021978021978,0.6036363636363636,0.8036363636363636,0.6483516483516484,0.8327272727272728,0.822463768115942,0.6751824817518248,0.9597069597069597,0.9239130434782609,0.9127272727272727,0.7781818181818182,0.6094890510948905,0.7101449275362319,0.8079710144927537
164,11,3,5,1,0,0,5,0,1,1,1,0,0,2,0,8,3,71,0
3,175,0,1,3,4,0,3,0,26,2,0,0,0,0,0,17,15,26,0
49,3,172,7,0,0,0,0,0,2,2,5,5,0,0,0,2,11,18,0
29,5,0,50,0,0,0,13,0,1,0,2,2,0,0,0,3,8,160,0
0,2,0,0,249,1,8,0,0,0,9,0,0,2,1,1,2,0,0,1
0,0,0,0,0,230,0,5,0,13,0,1,0,0,2,0,12,7,5,0
0,0,0,0,0,0,267,0,2,0,0,0,1,1,0,0,0,1,0,1
2,8,0,1,0,0,0,166,0,1,0,0,1,0,0,0,53,1,40,2
0,0,0,0,8,0,6,0,221,0,0,0,0,0,39,0,1,0,0,0
1,8,0,1,3,4,1,1,0,177,1,0,2,0,0,0,4,49,21,0
0,5,0,4,7,0,9,0,0,0,229,6,9,2,1,0,1,1,0,1
0,1,2,0,1,2,1,0,0,10,2,227,11,0,1,0,9,3,6,0
0,1,0,2,0,2,0,0,0,36,0,25,185,0,0,0,2,6,15,0
0,0,0,0,0,0,5,0,0,1,3,0,0,262,0,0,0,0,0,2
0,0,0,0,0,0,11,0,8,0,0,0,0,0,255,0,0,0,2,0
0,0,0,0,13,1,5,0,0,0,0,0,0,2,1,251,0,0,0,2
0,11,0,0,9,22,2,5,1,2,1,2,0,0,3,0,214,1,2,0
3,46,1,8,0,2,0,0,0,29,0,1,2,0,0,0,1,167,14,0
26,2,0,27,0,1,0,11,0,4,0,0,1,0,0,0,7,1,196,0
0,0,0,0,0,0,0,0,19,0,19,0,0,0,7,8,0,0,0,223
