[(0, 2, True), (1, 2, True), (2, 2, True), (3, 2, True), (4, 2, True), (5, 2, True), (6, 2, True), (7, 2, True), (8, 2, True), (9, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 4 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch  55, time= 17.0s | Train: skip eval | Valid: time=  1.3s loss=0.041, TAw acc= 97.8% | *
| Epoch  56, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.140, TAw acc= 95.5% |
| Epoch  57, time= 17.2s | Train: skip eval | Valid: time=  1.3s loss=0.106, TAw acc= 95.5% |
| Epoch  58, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.135, TAw acc= 95.5% |
| Epoch  59, time= 17.2s | Train: skip eval | Valid: time=  1.3s loss=0.085, TAw acc= 97.0% |
| Epoch  60, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.083, TAw acc= 96.3% |
| Epoch  61, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.140, TAw acc= 94.8% |
| Epoch  62, time= 17.3s | Train: skip eval | Valid: time=  1.3s loss=0.093, TAw acc= 96.3% |
| Epoch  63, time= 17.2s | Train: skip eval | Valid: time=  1.3s loss=0.095, TAw acc= 95.5% |
| Epoch  64, time= 17.2s | Train: skip eval | Valid: time=  1.3s loss=0.140, TAw acc= 94.0% |
| Epoch  65, time= 16.8s | Train: skip eval | Valid: time=  1.3s loss=0.052, TAw acc= 97.8% |
Stage 2: BiC training for Task 0: alpha=1.00000, beta=0.00000
| Selected 36 train exemplars, time= 10.2s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.103 | TAw acc= 97.6%, forg=  0.0%| TAg acc= 97.6%, forg=  0.0% <<<
Save at results/ntu_bic
************************************************************************************************************
Task  1
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 8 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 27.5s | Train: skip eval | Valid: time=  2.4s loss=0.432, TAw acc= 72.9% | *
| Epoch   2, time= 27.2s | Train: skip eval | Valid: time=  2.3s loss=0.319, TAw acc= 86.5% | *
| Epoch   3, time= 27.4s | Train: skip eval | Valid: time=  2.3s loss=0.317, TAw acc= 88.0% | *
| Epoch   4, time= 27.3s | Train: skip eval | Valid: time=  2.4s loss=0.273, TAw acc= 91.0% | *
| Epoch   5, time= 27.4s | Train: skip eval | Valid: time=  2.4s loss=0.370, TAw acc= 85.0% |
| Epoch   6, time= 26.5s | Train: skip eval | Valid: time=  2.4s loss=0.270, TAw acc= 86.5% | *
| Epoch   7, time= 27.0s | Train: skip eval | Valid: time=  2.3s loss=0.243, TAw acc= 90.2% | *
| Epoch   8, time= 27.2s | Train: skip eval | Valid: time=  2.4s loss=0.245, TAw acc= 88.0% |
| Epoch   9, time= 27.4s | Train: skip eval | Valid: time=  2.4s loss=0.210, TAw acc= 97.0% | *
| Epoch  10, time= 27.2s | Train: skip eval | Valid: time=  2.3s loss=0.202, TAw acc= 94.0% | *
| Epoch  11, time= 26.9s | Train: skip eval | Valid: time=  2.4s loss=0.240, TAw acc= 93.2% |
| Epoch  12, time= 26.5s | Train: skip eval | Valid: time=  2.3s loss=0.180, TAw acc= 97.0% | *
| Epoch  13, time= 27.5s | Train: skip eval | Valid: time=  2.3s loss=0.206, TAw acc= 93.2% |
| Epoch  14, time= 27.5s | Train: skip eval | Valid: time=  2.4s loss=0.191, TAw acc= 96.2% |
| Epoch  15, time= 27.2s | Train: skip eval | Valid: time=  2.4s loss=0.239, TAw acc= 92.5% |
| Epoch  16, time= 26.4s | Train: skip eval | Valid: time=  2.4s loss=0.236, TAw acc= 91.7% |
| Epoch  17, time= 26.5s | Train: skip eval | Valid: time=  2.3s loss=0.213, TAw acc= 93.2% |
| Epoch  18, time= 27.4s | Train: skip eval | Valid: time=  2.4s loss=0.184, TAw acc= 94.0% |
| Epoch  19, time= 27.4s | Train: skip eval | Valid: time=  2.3s loss=0.170, TAw acc= 96.2% | *
| Epoch  20, time= 27.4s | Train: skip eval | Valid: time=  2.3s loss=0.383, TAw acc= 82.0% |
| Epoch  21, time= 27.1s | Train: skip eval | Valid: time=  2.3s loss=0.194, TAw acc= 96.2% |
| Epoch  22, time= 27.4s | Train: skip eval | Valid: time=  2.4s loss=0.161, TAw acc= 96.2% | *
| Epoch  23, time= 27.2s | Train: skip eval | Valid: time=  2.3s loss=0.207, TAw acc= 94.0% |
| Epoch  24, time= 27.4s | Train: skip eval | Valid: time=  2.3s loss=0.178, TAw acc= 93.2% |
| Epoch  25, time= 26.5s | Train: skip eval | Valid: time=  2.4s loss=0.162, TAw acc= 97.0% |
| Epoch  26, time= 27.4s | Train: skip eval | Valid: time=  2.4s loss=0.195, TAw acc= 94.0% |
| Epoch  27, time= 26.6s | Train: skip eval | Valid: time=  2.4s loss=0.205, TAw acc= 92.5% |
| Epoch  28, time= 26.4s | Train: skip eval | Valid: time=  2.4s loss=0.222, TAw acc= 90.2% |
| Epoch  29, time= 27.4s | Train: skip eval | Valid: time=  2.4s loss=0.179, TAw acc= 97.0% |
| Epoch  30, time= 27.3s | Train: skip eval | Valid: time=  2.4s loss=0.174, TAw acc= 94.0% |
| Epoch  31, time= 27.3s | Train: skip eval | Valid: time=  2.3s loss=0.148, TAw acc= 97.7% | *
| Epoch  32, time= 27.4s | Train: skip eval | Valid: time=  2.3s loss=0.171, TAw acc= 94.7% |
| Epoch  33, time= 27.4s | Train: skip eval | Valid: time=  2.3s loss=0.167, TAw acc= 96.2% |
| Epoch  34, time= 27.3s | Train: skip eval | Valid: time=  2.3s loss=0.182, TAw acc= 94.7% |
| Epoch  35, time= 27.4s | Train: skip eval | Valid: time=  2.3s loss=0.185, TAw acc= 94.7% |
| Epoch  36, time= 26.9s | Train: skip eval | Valid: time=  2.3s loss=0.184, TAw acc= 96.2% |
| Epoch  37, time= 27.2s | Train: skip eval | Valid: time=  2.3s loss=0.251, TAw acc= 92.5% |
| Epoch  38, time= 27.5s | Train: skip eval | Valid: time=  2.4s loss=0.229, TAw acc= 93.2% |
| Epoch  39, time= 26.4s | Train: skip eval | Valid: time=  2.3s loss=0.203, TAw acc= 95.5% |
| Epoch  40, time= 27.5s | Train: skip eval | Valid: time=  2.4s loss=0.327, TAw acc= 85.7% |
| Epoch  41, time= 27.5s | Train: skip eval | Valid: time=  2.3s loss=0.193, TAw acc= 93.2% |
| Epoch  42, time= 26.8s | Train: skip eval | Valid: time=  2.4s loss=0.170, TAw acc= 94.0% |
| Epoch  43, time= 27.4s | Train: skip eval | Valid: time=  2.4s loss=0.293, TAw acc= 87.2% |
| Epoch  44, time= 27.0s | Train: skip eval | Valid: time=  2.3s loss=0.154, TAw acc= 96.2% |
| Epoch  45, time= 27.3s | Train: skip eval | Valid: time=  2.4s loss=0.161, TAw acc= 97.0% |
| Epoch  46, time= 27.2s | Train: skip eval | Valid: time=  2.4s loss=0.348, TAw acc= 83.5% |
| Epoch  47, time= 27.5s | Train: skip eval | Valid: time=  2.4s loss=0.148, TAw acc= 99.2% |
| Epoch  48, time= 26.6s | Train: skip eval | Valid: time=  2.4s loss=0.173, TAw acc= 96.2% |
| Epoch  49, time= 27.4s | Train: skip eval | Valid: time=  2.4s loss=0.170, TAw acc= 95.5% |
| Epoch  50, time= 27.2s | Train: skip eval | Valid: time=  2.4s loss=0.167, TAw acc= 97.7% |
| Epoch  51, time= 27.4s | Train: skip eval | Valid: time=  2.3s loss=0.272, TAw acc= 92.5% |
