[(0, 2, True), (1, 2, True), (2, 2, True), (3, 2, True), (4, 2, True), (5, 2, True), (6, 2, True), (7, 2, True), (8, 2, True), (9, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 40 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch  56, time= 16.5s | Train: skip eval | Valid: time=  1.3s loss=0.056, TAw acc= 97.8% |
| Epoch  57, time= 16.4s | Train: skip eval | Valid: time=  1.3s loss=0.047, TAw acc= 98.5% | *
| Epoch  58, time= 16.6s | Train: skip eval | Valid: time=  1.3s loss=0.101, TAw acc= 96.3% |
| Epoch  59, time= 16.7s | Train: skip eval | Valid: time=  1.3s loss=0.095, TAw acc= 97.8% |
| Epoch  60, time= 16.4s | Train: skip eval | Valid: time=  1.3s loss=0.095, TAw acc= 96.3% |
| Epoch  61, time= 16.4s | Train: skip eval | Valid: time=  1.3s loss=0.153, TAw acc= 94.0% |
| Epoch  62, time= 16.6s | Train: skip eval | Valid: time=  1.3s loss=0.070, TAw acc= 96.3% |
| Epoch  63, time= 16.8s | Train: skip eval | Valid: time=  1.3s loss=0.098, TAw acc= 97.0% |
| Epoch  64, time= 16.7s | Train: skip eval | Valid: time=  1.3s loss=0.113, TAw acc= 94.8% |
| Epoch  65, time= 16.8s | Train: skip eval | Valid: time=  1.3s loss=0.130, TAw acc= 95.5% |
Stage 2: BiC training for Task 0: alpha=1.00000, beta=0.00000
| Selected 360 train exemplars, time=  0.2s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.153 | TAw acc= 96.2%, forg=  0.0%| TAg acc= 96.2%, forg=  0.0% <<<
Save at results/ntu_bic
************************************************************************************************************
Task  1
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 40 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 33.5s | Train: skip eval | Valid: time=  2.4s loss=0.556, TAw acc= 73.7% | *
| Epoch   2, time= 33.6s | Train: skip eval | Valid: time=  2.4s loss=0.392, TAw acc= 96.2% | *
| Epoch   3, time= 34.1s | Train: skip eval | Valid: time=  2.4s loss=0.390, TAw acc= 88.7% | *
| Epoch   4, time= 34.1s | Train: skip eval | Valid: time=  2.4s loss=0.321, TAw acc= 93.2% | *
| Epoch   5, time= 34.1s | Train: skip eval | Valid: time=  2.3s loss=0.395, TAw acc= 86.5% |
| Epoch   6, time= 33.5s | Train: skip eval | Valid: time=  2.4s loss=0.321, TAw acc= 91.0% |
| Epoch   7, time= 34.1s | Train: skip eval | Valid: time=  2.4s loss=0.445, TAw acc= 80.5% |
| Epoch   8, time= 33.6s | Train: skip eval | Valid: time=  2.3s loss=0.310, TAw acc= 94.7% | *
| Epoch   9, time= 33.6s | Train: skip eval | Valid: time=  2.4s loss=0.327, TAw acc= 92.5% |
| Epoch  10, time= 33.0s | Train: skip eval | Valid: time=  2.4s loss=0.348, TAw acc= 94.7% |
| Epoch  11, time= 33.8s | Train: skip eval | Valid: time=  2.4s loss=0.295, TAw acc= 94.0% | *
| Epoch  12, time= 34.3s | Train: skip eval | Valid: time=  2.4s loss=0.258, TAw acc= 94.7% | *
| Epoch  13, time= 34.2s | Train: skip eval | Valid: time=  2.3s loss=0.402, TAw acc= 87.2% |
| Epoch  14, time= 34.2s | Train: skip eval | Valid: time=  2.4s loss=0.358, TAw acc= 91.0% |
| Epoch  15, time= 33.5s | Train: skip eval | Valid: time=  2.4s loss=0.418, TAw acc= 85.7% |
| Epoch  16, time= 34.2s | Train: skip eval | Valid: time=  2.4s loss=0.358, TAw acc= 96.2% |
| Epoch  17, time= 33.2s | Train: skip eval | Valid: time=  2.4s loss=0.260, TAw acc= 94.0% |
| Epoch  18, time= 34.2s | Train: skip eval | Valid: time=  2.3s loss=0.312, TAw acc= 91.7% |
| Epoch  19, time= 33.6s | Train: skip eval | Valid: time=  2.3s loss=0.235, TAw acc= 97.0% | *
| Epoch  20, time= 34.1s | Train: skip eval | Valid: time=  2.4s loss=0.430, TAw acc= 97.0% |
| Epoch  21, time= 34.1s | Train: skip eval | Valid: time=  2.4s loss=0.233, TAw acc= 94.0% | *
| Epoch  22, time= 34.2s | Train: skip eval | Valid: time=  2.4s loss=0.463, TAw acc= 97.0% |
| Epoch  23, time= 33.9s | Train: skip eval | Valid: time=  2.4s loss=0.392, TAw acc= 97.7% |
| Epoch  24, time= 34.1s | Train: skip eval | Valid: time=  2.3s loss=0.268, TAw acc= 92.5% |
