[(0, 2, True), (1, 2, True), (2, 3, True), (3, 2, True), (4, 3, True), (5, 2, True), (6, 3, True), (7, 1, True), (8, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 40 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 15.6s | Train: skip eval | Valid: time=  1.2s loss=0.724, TAw acc= 50.4% | *
| Epoch   2, time= 15.3s | Train: skip eval | Valid: time=  1.2s loss=0.596, TAw acc= 73.7% | *
| Epoch   3, time= 15.2s | Train: skip eval | Valid: time=  1.2s loss=7.705, TAw acc= 51.1% |
| Epoch   4, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.404, TAw acc= 80.5% | *
| Epoch   5, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.223, TAw acc= 90.2% | *
| Epoch   6, time= 15.5s | Train: skip eval | Valid: time=  1.2s loss=0.266, TAw acc= 93.2% |
| Epoch   7, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.220, TAw acc= 91.7% | *
| Epoch   8, time= 16.0s | Train: skip eval | Valid: time=  1.2s loss=0.398, TAw acc= 85.7% |
| Epoch   9, time= 16.1s | Train: skip eval | Valid: time=  1.2s loss=0.210, TAw acc= 92.5% | *
| Epoch  10, time= 16.0s | Train: skip eval | Valid: time=  1.2s loss=0.187, TAw acc= 93.2% | *
| Epoch  11, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.168, TAw acc= 94.0% | *
| Epoch  12, time= 16.2s | Train: skip eval | Valid: time=  1.2s loss=0.145, TAw acc= 94.7% | *
| Epoch  13, time= 15.9s | Train: skip eval | Valid: time=  1.3s loss=0.118, TAw acc= 94.7% | *
| Epoch  14, time= 16.0s | Train: skip eval | Valid: time=  1.2s loss=0.109, TAw acc= 96.2% | *
| Epoch  15, time= 16.3s | Train: skip eval | Valid: time=  1.3s loss=0.159, TAw acc= 95.5% |
| Epoch  16, time= 16.1s | Train: skip eval | Valid: time=  1.2s loss=0.148, TAw acc= 93.2% |
| Epoch  17, time= 16.2s | Train: skip eval | Valid: time=  1.3s loss=0.215, TAw acc= 94.0% |
| Epoch  18, time= 16.4s | Train: skip eval | Valid: time=  1.2s loss=0.299, TAw acc= 88.7% |
| Epoch  19, time= 16.4s | Train: skip eval | Valid: time=  1.2s loss=0.246, TAw acc= 93.2% |
| Epoch  20, time= 16.5s | Train: skip eval | Valid: time=  1.2s loss=0.191, TAw acc= 91.7% |
| Epoch  21, time= 16.3s | Train: skip eval | Valid: time=  1.2s loss=0.144, TAw acc= 94.0% |
| Epoch  22, time= 16.5s | Train: skip eval | Valid: time=  1.2s loss=0.099, TAw acc= 96.2% | *
