[(0, 2, True), (1, 2, True), (2, 3, True), (3, 2, True), (4, 2, True), (5, 1, True), (6, 1, False), (7, 1, False), (8, 3, True), (9, 1, True), (10, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 4 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch  23, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.079, TAw acc= 97.7% |
| Epoch  24, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.129, TAw acc= 94.7% |
| Epoch  25, time= 17.0s | Train: skip eval | Valid: time=  1.2s loss=0.084, TAw acc= 97.0% |
| Epoch  26, time= 17.0s | Train: skip eval | Valid: time=  1.2s loss=0.065, TAw acc= 96.2% |
| Epoch  27, time= 17.0s | Train: skip eval | Valid: time=  1.3s loss=0.099, TAw acc= 95.5% |
| Epoch  28, time= 16.8s | Train: skip eval | Valid: time=  1.3s loss=0.059, TAw acc= 98.5% | *
| Epoch  29, time= 16.7s | Train: skip eval | Valid: time=  1.2s loss=0.056, TAw acc= 97.7% | *
| Epoch  30, time= 16.6s | Train: skip eval | Valid: time=  1.3s loss=0.069, TAw acc= 99.2% |
| Epoch  31, time= 17.0s | Train: skip eval | Valid: time=  1.2s loss=0.067, TAw acc= 97.0% |
| Epoch  32, time= 17.0s | Train: skip eval | Valid: time=  1.2s loss=0.097, TAw acc= 97.0% |
| Epoch  33, time= 17.0s | Train: skip eval | Valid: time=  1.3s loss=0.051, TAw acc= 98.5% | *
| Epoch  34, time= 17.0s | Train: skip eval | Valid: time=  1.2s loss=0.089, TAw acc= 97.7% |
| Epoch  35, time= 17.0s | Train: skip eval | Valid: time=  1.2s loss=0.078, TAw acc= 98.5% |
| Epoch  36, time= 17.0s | Train: skip eval | Valid: time=  1.3s loss=0.058, TAw acc= 98.5% |
| Epoch  37, time= 16.7s | Train: skip eval | Valid: time=  1.3s loss=0.088, TAw acc= 97.0% |
| Epoch  38, time= 16.7s | Train: skip eval | Valid: time=  1.2s loss=0.058, TAw acc= 99.2% |
| Epoch  39, time= 17.0s | Train: skip eval | Valid: time=  1.2s loss=0.090, TAw acc= 96.2% |
| Epoch  40, time= 16.8s | Train: skip eval | Valid: time=  1.3s loss=0.072, TAw acc= 98.5% |
| Epoch  41, time= 16.8s | Train: skip eval | Valid: time=  1.3s loss=0.064, TAw acc= 97.0% |
| Epoch  42, time= 16.6s | Train: skip eval | Valid: time=  1.2s loss=0.088, TAw acc= 97.0% |
| Epoch  43, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.072, TAw acc= 98.5% |
| Epoch  44, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.085, TAw acc= 97.7% |
| Epoch  45, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.073, TAw acc= 97.7% |
| Epoch  46, time= 17.2s | Train: skip eval | Valid: time=  1.2s loss=0.064, TAw acc= 98.5% |
| Epoch  47, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.066, TAw acc= 97.0% |
| Epoch  48, time= 17.2s | Train: skip eval | Valid: time=  1.2s loss=0.065, TAw acc= 98.5% |
| Epoch  49, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.069, TAw acc= 98.5% |
| Epoch  50, time= 17.0s | Train: skip eval | Valid: time=  1.2s loss=0.097, TAw acc= 97.0% |
| Epoch  51, time= 16.8s | Train: skip eval | Valid: time=  1.3s loss=0.096, TAw acc= 97.0% |
| Epoch  52, time= 16.7s | Train: skip eval | Valid: time=  1.3s loss=0.086, TAw acc= 97.7% |
| Epoch  53, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.087, TAw acc= 98.5% |
| Epoch  54, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.089, TAw acc= 98.5% |
| Epoch  55, time= 17.2s | Train: skip eval | Valid: time=  1.3s loss=0.067, TAw acc= 99.2% |
| Epoch  56, time= 17.3s | Train: skip eval | Valid: time=  1.3s loss=0.083, TAw acc= 98.5% |
| Epoch  57, time= 16.7s | Train: skip eval | Valid: time=  1.2s loss=0.081, TAw acc= 98.5% |
| Epoch  58, time= 17.1s | Train: skip eval | Valid: time=  1.3s loss=0.117, TAw acc= 96.2% |
| Epoch  59, time= 17.2s | Train: skip eval | Valid: time=  1.3s loss=0.069, TAw acc= 98.5% |
| Epoch  60, time= 17.2s | Train: skip eval | Valid: time=  1.2s loss=0.080, TAw acc= 99.2% |
| Epoch  61, time= 17.1s | Train: skip eval | Valid: time=  1.2s loss=0.075, TAw acc= 98.5% |
| Epoch  62, time= 17.2s | Train: skip eval | Valid: time=  1.2s loss=0.059, TAw acc= 98.5% |
| Epoch  63, time= 16.8s | Train: skip eval | Valid: time=  1.3s loss=0.070, TAw acc= 99.2% |
| Epoch  64, time= 17.2s | Train: skip eval | Valid: time=  1.2s loss=0.089, TAw acc= 98.5% |
| Epoch  65, time= 17.3s | Train: skip eval | Valid: time=  1.2s loss=0.077, TAw acc= 97.7% |
Stage 2: BiC training for Task 0: alpha=1.00000, beta=0.00000
| Selected 36 train exemplars, time= 10.2s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.070 | TAw acc= 97.4%, forg=  0.0%| TAg acc= 97.4%, forg=  0.0% <<<
Save at results/ntu_bic
************************************************************************************************************
Task  1
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 8 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 27.5s | Train: skip eval | Valid: time=  2.3s loss=0.646, TAw acc= 67.2% | *
| Epoch   2, time= 27.4s | Train: skip eval | Valid: time=  2.3s loss=0.560, TAw acc= 79.1% | *
| Epoch   3, time= 27.3s | Train: skip eval | Valid: time=  2.4s loss=0.454, TAw acc= 85.8% | *
| Epoch   4, time= 27.0s | Train: skip eval | Valid: time=  2.3s loss=0.405, TAw acc= 90.3% | *
| Epoch   5, time= 27.4s | Train: skip eval | Valid: time=  2.3s loss=0.384, TAw acc= 92.5% | *
| Epoch   6, time= 27.4s | Train: skip eval | Valid: time=  2.3s loss=0.400, TAw acc= 91.8% |
| Epoch   7, time= 27.5s | Train: skip eval | Valid: time=  2.3s loss=0.368, TAw acc= 92.5% | *
| Epoch   8, time= 26.9s | Train: skip eval | Valid: time=  2.3s loss=0.347, TAw acc= 90.3% | *
