[(0, 2, True), (1, 1, True), (2, 3, True), (3, 1, False), (4, 2, True), (5, 3, True), (6, 2, True), (7, 3, True), (8, 1, True), (9, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 40 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch  56, time= 16.4s | Train: skip eval | Valid: time=  1.3s loss=0.253, TAw acc= 97.0% |
| Epoch  57, time= 17.0s | Train: skip eval | Valid: time=  1.3s loss=0.165, TAw acc= 94.7% |
| Epoch  58, time= 16.8s | Train: skip eval | Valid: time=  1.2s loss=0.169, TAw acc= 97.7% |
| Epoch  59, time= 16.8s | Train: skip eval | Valid: time=  1.3s loss=0.136, TAw acc= 96.2% |
| Epoch  60, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.147, TAw acc= 96.2% |
| Epoch  61, time= 16.7s | Train: skip eval | Valid: time=  1.2s loss=0.103, TAw acc= 97.0% |
| Epoch  62, time= 16.4s | Train: skip eval | Valid: time=  1.3s loss=0.118, TAw acc= 97.7% |
| Epoch  63, time= 16.9s | Train: skip eval | Valid: time=  1.2s loss=0.117, TAw acc= 96.2% |
| Epoch  64, time= 16.9s | Train: skip eval | Valid: time=  1.3s loss=0.145, TAw acc= 95.5% |
| Epoch  65, time= 17.0s | Train: skip eval | Valid: time=  1.2s loss=0.129, TAw acc= 97.0% |
Stage 2: BiC training for Task 0: alpha=1.00000, beta=0.00000
| Selected 360 train exemplars, time= 12.2s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.081 | TAw acc= 97.1%, forg=  0.0%| TAg acc= 97.1%, forg=  0.0% <<<
Save at results/ntu_bic
************************************************************************************************************
Task  1
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 42 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 20.5s | Train: skip eval | Valid: time=  1.3s loss=0.440, TAw acc=100.0% | *
| Epoch   2, time= 20.7s | Train: skip eval | Valid: time=  1.3s loss=0.433, TAw acc=100.0% | *
| Epoch   3, time= 20.9s | Train: skip eval | Valid: time=  1.3s loss=0.378, TAw acc=100.0% | *
| Epoch   4, time= 20.9s | Train: skip eval | Valid: time=  1.3s loss=0.380, TAw acc=100.0% |
