[18, 1, 19, 8, 10, 17, 6, 13, 4, 2, 5, 14, 9, 7, 16, 11, 3, 0, 15, 12]
[(0, 2, True), (1, 2, True), (2, 2, True), (3, 2, True), (4, 2, True), (5, 2, True), (6, 2, True), (7, 2, True), (8, 2, True), (9, 2, True)]
************************************************************************************************************
Task  0
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 4 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch  54, time= 15.6s | Train: skip eval | Valid: time=  1.2s loss=0.148, TAw acc= 94.0% |
| Epoch  55, time= 15.6s | Train: skip eval | Valid: time=  1.2s loss=0.184, TAw acc= 95.5% |
| Epoch  56, time= 15.9s | Train: skip eval | Valid: time=  1.2s loss=0.077, TAw acc= 97.8% |
| Epoch  57, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.156, TAw acc= 95.5% |
| Epoch  58, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.095, TAw acc= 96.3% |
| Epoch  59, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.064, TAw acc= 97.0% |
| Epoch  60, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.049, TAw acc= 98.5% | *
| Epoch  61, time= 15.6s | Train: skip eval | Valid: time=  1.2s loss=0.114, TAw acc= 96.3% |
| Epoch  62, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.076, TAw acc= 97.8% |
| Epoch  63, time= 15.5s | Train: skip eval | Valid: time=  1.2s loss=0.089, TAw acc= 97.0% |
| Epoch  64, time= 15.8s | Train: skip eval | Valid: time=  1.2s loss=0.107, TAw acc= 97.8% |
| Epoch  65, time= 15.7s | Train: skip eval | Valid: time=  1.2s loss=0.092, TAw acc= 97.0% |
Stage 2: BiC training for Task 0: alpha=1.00000, beta=0.00000
| Selected 36 train exemplars, time=  9.9s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.226 | TAw acc= 95.6%, forg=  0.0%| TAg acc= 95.6%, forg=  0.0% <<<
Save at results/ntu_bic
************************************************************************************************************
Task  1
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 8 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 25.9s | Train: skip eval | Valid: time=  2.3s loss=0.395, TAw acc= 67.7% | *
| Epoch   2, time= 25.8s | Train: skip eval | Valid: time=  2.2s loss=0.322, TAw acc= 82.7% | *
| Epoch   3, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.305, TAw acc= 90.2% | *
| Epoch   4, time= 25.8s | Train: skip eval | Valid: time=  2.3s loss=0.483, TAw acc= 68.4% |
| Epoch   5, time= 25.8s | Train: skip eval | Valid: time=  2.3s loss=0.242, TAw acc= 91.7% | *
| Epoch   6, time= 25.2s | Train: skip eval | Valid: time=  2.2s loss=0.205, TAw acc= 94.7% | *
| Epoch   7, time= 25.6s | Train: skip eval | Valid: time=  2.2s loss=0.240, TAw acc= 92.5% |
| Epoch   8, time= 25.9s | Train: skip eval | Valid: time=  2.3s loss=0.283, TAw acc= 88.0% |
| Epoch   9, time= 25.2s | Train: skip eval | Valid: time=  2.3s loss=0.205, TAw acc= 91.7% |
| Epoch  10, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.193, TAw acc= 93.2% | *
| Epoch  11, time= 25.8s | Train: skip eval | Valid: time=  2.2s loss=0.177, TAw acc= 94.7% | *
| Epoch  12, time= 25.1s | Train: skip eval | Valid: time=  2.3s loss=0.246, TAw acc= 91.0% |
| Epoch  13, time= 25.5s | Train: skip eval | Valid: time=  2.2s loss=0.180, TAw acc= 94.0% |
| Epoch  14, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.152, TAw acc= 97.0% | *
| Epoch  15, time= 25.5s | Train: skip eval | Valid: time=  2.3s loss=0.232, TAw acc= 91.7% |
| Epoch  16, time= 25.6s | Train: skip eval | Valid: time=  2.3s loss=0.166, TAw acc= 94.7% |
| Epoch  17, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.183, TAw acc= 97.0% |
| Epoch  18, time= 25.8s | Train: skip eval | Valid: time=  2.2s loss=0.173, TAw acc= 94.7% |
| Epoch  19, time= 25.9s | Train: skip eval | Valid: time=  2.3s loss=0.150, TAw acc= 96.2% | *
| Epoch  20, time= 25.8s | Train: skip eval | Valid: time=  2.3s loss=0.160, TAw acc= 97.7% |
| Epoch  21, time= 25.9s | Train: skip eval | Valid: time=  2.3s loss=0.193, TAw acc= 95.5% |
| Epoch  22, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.131, TAw acc= 97.0% | *
| Epoch  23, time= 25.9s | Train: skip eval | Valid: time=  2.3s loss=0.196, TAw acc= 95.5% |
| Epoch  24, time= 25.8s | Train: skip eval | Valid: time=  2.2s loss=0.177, TAw acc= 94.0% |
| Epoch  25, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.170, TAw acc= 95.5% |
| Epoch  26, time= 25.9s | Train: skip eval | Valid: time=  2.3s loss=0.166, TAw acc= 95.5% |
| Epoch  27, time= 25.2s | Train: skip eval | Valid: time=  2.3s loss=0.357, TAw acc= 84.2% |
| Epoch  28, time= 25.3s | Train: skip eval | Valid: time=  2.3s loss=0.143, TAw acc= 97.0% |
| Epoch  29, time= 25.9s | Train: skip eval | Valid: time=  2.3s loss=0.174, TAw acc= 96.2% |
| Epoch  30, time= 25.7s | Train: skip eval | Valid: time=  2.3s loss=0.166, TAw acc= 93.2% |
| Epoch  31, time= 25.6s | Train: skip eval | Valid: time=  2.3s loss=0.180, TAw acc= 95.5% |
| Epoch  32, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.158, TAw acc= 97.0% |
| Epoch  33, time= 25.8s | Train: skip eval | Valid: time=  2.2s loss=0.272, TAw acc= 90.2% |
| Epoch  34, time= 25.5s | Train: skip eval | Valid: time=  2.3s loss=0.145, TAw acc= 97.7% |
| Epoch  35, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.190, TAw acc= 94.7% |
| Epoch  36, time= 25.8s | Train: skip eval | Valid: time=  2.2s loss=0.188, TAw acc= 95.5% |
| Epoch  37, time= 25.2s | Train: skip eval | Valid: time=  2.2s loss=0.158, TAw acc= 97.0% |
| Epoch  38, time= 25.9s | Train: skip eval | Valid: time=  2.3s loss=0.364, TAw acc= 82.7% |
| Epoch  39, time= 25.8s | Train: skip eval | Valid: time=  2.3s loss=0.160, TAw acc= 96.2% |
| Epoch  40, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.174, TAw acc= 97.0% |
| Epoch  41, time= 25.8s | Train: skip eval | Valid: time=  2.2s loss=0.159, TAw acc= 96.2% |
| Epoch  42, time= 25.4s | Train: skip eval | Valid: time=  2.3s loss=0.239, TAw acc= 91.0% |
| Epoch  43, time= 25.9s | Train: skip eval | Valid: time=  2.3s loss=0.177, TAw acc= 95.5% |
| Epoch  44, time= 25.8s | Train: skip eval | Valid: time=  2.2s loss=0.161, TAw acc= 97.0% |
| Epoch  45, time= 25.7s | Train: skip eval | Valid: time=  2.2s loss=0.172, TAw acc= 95.5% |
| Epoch  46, time= 25.7s | Train: skip eval | Valid: time=  2.2s loss=0.347, TAw acc= 85.7% |
| Epoch  47, time= 25.8s | Train: skip eval | Valid: time=  2.3s loss=0.171, TAw acc= 96.2% |
| Epoch  48, time= 25.6s | Train: skip eval | Valid: time=  2.3s loss=0.144, TAw acc= 97.0% |
| Epoch  49, time= 25.6s | Train: skip eval | Valid: time=  2.2s loss=0.157, TAw acc= 98.5% |
| Epoch  50, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.194, TAw acc= 95.5% |
| Epoch  51, time= 25.4s | Train: skip eval | Valid: time=  2.2s loss=0.186, TAw acc= 94.7% |
| Epoch  52, time= 25.8s | Train: skip eval | Valid: time=  2.3s loss=0.249, TAw acc= 92.5% |
| Epoch  53, time= 25.9s | Train: skip eval | Valid: time=  2.3s loss=0.137, TAw acc= 96.2% |
| Epoch  54, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.242, TAw acc= 91.7% |
| Epoch  55, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.157, TAw acc= 97.0% |
| Epoch  56, time= 25.9s | Train: skip eval | Valid: time=  2.3s loss=0.168, TAw acc= 95.5% |
| Epoch  57, time= 25.5s | Train: skip eval | Valid: time=  2.2s loss=0.163, TAw acc= 97.7% | lr=1.0e+00
| Epoch  58, time= 25.9s | Train: skip eval | Valid: time=  2.3s loss=0.391, TAw acc= 85.0% |
| Epoch  59, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.325, TAw acc= 86.5% |
| Epoch  60, time= 25.8s | Train: skip eval | Valid: time=  2.3s loss=0.287, TAw acc= 88.0% |
| Epoch  61, time= 25.9s | Train: skip eval | Valid: time=  2.3s loss=0.282, TAw acc= 88.0% |
| Epoch  62, time= 25.9s | Train: skip eval | Valid: time=  2.2s loss=0.296, TAw acc= 94.0% |
| Epoch  63, time= 25.8s | Train: skip eval | Valid: time=  2.3s loss=0.365, TAw acc= 87.2% |
| Epoch  64, time= 25.6s | Train: skip eval | Valid: time=  2.3s loss=0.246, TAw acc= 93.2% |
| Epoch  65, time= 25.8s | Train: skip eval | Valid: time=  2.2s loss=0.247, TAw acc= 94.0% |
Stage 2: Training bias correction layers
| Epoch  50, time=  0.2s | Train: loss=0.771, TAg acc= 50.0% |
| Epoch 100, time=  0.2s | Train: loss=1.612, TAg acc= 62.5% |
| Epoch 150, time=  0.2s | Train: loss=0.746, TAg acc= 50.0% |
| Epoch 200, time=  0.2s | Train: loss=1.197, TAg acc= 50.0% |
Stage 2: BiC training for Task 0: alpha=1.00000, beta=0.00000
Stage 2: BiC training for Task 1: alpha=0.28103, beta=-0.76267
| Selected 72 train exemplars, time= 10.1s
------------------------------------------------------------------------------------------------------------
>>> Test on task  0 : loss=0.816 | TAw acc= 93.3%, forg=  2.4%| TAg acc= 76.8%, forg= 18.9% <<<
>>> Test on task  1 : loss=0.402 | TAw acc= 96.5%, forg=  0.0%| TAg acc= 68.1%, forg=  0.0% <<<
Save at results/ntu_bic
************************************************************************************************************
Task  2
************************************************************************************************************
Stage 0: Select exemplars from validation
 > Selected 12 validation exemplars, time=  0.0s
Stage 1: Training model with distillation
| Epoch   1, time= 26.0s | Train: skip eval | Valid: time=  2.3s loss=1.144, TAw acc= 67.9% | *
| Epoch   2, time= 26.7s | Train: skip eval | Valid: time=  2.3s loss=1.034, TAw acc= 81.3% | *
| Epoch   3, time= 26.1s | Train: skip eval | Valid: time=  2.3s loss=0.962, TAw acc= 92.5% | *
| Epoch   4, time= 26.8s | Train: skip eval | Valid: time=  2.3s loss=0.930, TAw acc= 94.8% | *
| Epoch   5, time= 26.5s | Train: skip eval | Valid: time=  2.3s loss=0.918, TAw acc= 97.0% | *
| Epoch   6, time= 26.1s | Train: skip eval | Valid: time=  2.3s loss=0.903, TAw acc= 96.3% | *
| Epoch   7, time= 26.8s | Train: skip eval | Valid: time=  2.2s loss=0.917, TAw acc= 94.8% |
| Epoch   8, time= 26.9s | Train: skip eval | Valid: time=  2.3s loss=0.940, TAw acc= 93.3% |
| Epoch   9, time= 26.9s | Train: skip eval | Valid: time=  2.3s loss=0.895, TAw acc= 99.3% | *
| Epoch  10, time= 26.9s | Train: skip eval | Valid: time=  2.3s loss=0.892, TAw acc= 97.8% | *
